00:43 Zqnqx     : hi
01:08 Zqnqx     : test the thing
01:08 Zqnqx     : it's so broken
01:08 Bleec     : iyi
01:09 Zqnqx     : also blaziel slowly kills itself
01:09 Zqnqx     : just fyi
01:09 Bleec     : quite unfortunate
01:09 Zqnqx     : i'm uh
01:09 Zqnqx     : trying to fix my enchants/attributes
01:09 Zqnqx     : idk why but enchants are broken somehow
01:10 Zqnqx     : oh also
01:10 Zqnqx     : all boots are broken
01:11 Bleec     : is that my fault tho
01:11 Zqnqx     : no
01:11 Zqnqx     : also i did burning armor
01:11 Zqnqx     : i changed name because it didn't make sense
01:12 Zqnqx     : i gtg
01:12 Zqnqx     : gl with blaziel
